Marca temporal,1 - ¿Tienes mascota?,2 - Indica tu género ,3 - Edad ,4 - ¿Qué mascotas tienes? ,5 - Si tienes perro...,6 - Si tienes gato...,7 - ¿Cuánto tiempo al día pasas con tu mascota? ,8 - ¿Cuándo vas de vacaciones viajas con tu mascota? ,"9 - Aproximadamente, ¿cuánto dinero gastas al año en tu mascota?",10 - ¿Tienes esterilizada a tu mascota?,"11 - Si tienes perro, ¿de qué raza es? ","12 - Si tienes gato, ¿de qué raza es? ",13 - ¿Consideras que tu mascota te hace más feliz?,14 - ¿Consideras que tu mascota es un miembro más de la familia?
22/04/2024 12:35:03,Sí,Mujer,25- 35 años,"Reptil, Conejo",,,+ de 1 hora,A veces,Menos de 1000€,Sí,,,Sí,Sí
22/04/2024 12:35:33,Sí,Hombre,25- 35 años,Perro,Adoptado,,+ de 1 hora,Sí,Entre 1000€ y 2000€,Sí,Yorkshire terrier,,Sí,Sí
22/04/2024 12:38:09,Sí,Hombre,35 - 45 años,Perro,Adoptado,,30 minutos,A veces,Entre 1000€ y 2000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:40:54,Sí,Hombre,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 12:42:03,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,No,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:43:39,Sí,Mujer,18-25 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Menos de 1000€,Sí,"Yorkshire terrier, Chihuahua",Otro,Sí,Sí
22/04/2024 12:43:42,Sí,Mujer,18-25 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Menos de 1000€,Sí,"Yorkshire terrier, Chihuahua",Otro,Sí,Sí
22/04/2024 12:46:18,Sí,Mujer,25- 35 años,Perro,Comprado,,+ de 1 hora,Sí,Entre 1000€ y 2000€,Sí,Dálmata,,Sí,Sí
22/04/2024 12:48:01,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:48:02,Sí,Hombre,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:48:35,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,Sí,Entre 2000€ y 3000€,Sí,Mestizo,,Sí,Sí
22/04/2024 12:51:17,Sí,Mujer,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 12:52:02,Sí,Mujer,45 -55 años,Gato,,,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 12:52:39,Sí,Mujer,+55 años,Perro,Adoptado,,+ de 1 hora,No,Menos de 1000€,No,No lo sé,,Sí,Sí
22/04/2024 12:53:28,Sí,Hombre,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Entre 1000€ y 2000€,Sí,,No lo sé,Sí,Sí
22/04/2024 12:53:39,Sí,Hombre,18-25 años,Hurones,,,+ de 1 hora,Sí,Menos de 1000€,Sí,,,Sí,Sí
22/04/2024 12:55:59,Sí,Hombre,25- 35 años,Perro,Comprado,,+ de 1 hora,Sí,Más 3000€,Sí,No lo sé,,Sí,Sí
22/04/2024 12:56:29,Sí,Mujer,18-25 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 13:02:45,Sí,Mujer,35 - 45 años,Perro,Adoptado,,+ de 1 hora,A veces,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 13:06:08,Sí,Hombre,35 - 45 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,No lo sé,Sí,Sí
22/04/2024 13:08:17,Sí,Mujer,35 - 45 años,Gato,,Adoptado,1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 13:09:43,Sí,Mujer,35 - 45 años,Perro,Comprado,,+ de 1 hora,Sí,Entre 1000€ y 2000€,No,Mestizo,,Sí,Sí
22/04/2024 13:14:07,Sí,Mujer,25- 35 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,No,Entre 1000€ y 2000€,Sí,Mestizo,Otro,Sí,Sí
22/04/2024 13:14:09,Sí,Mujer,45 -55 años,Perro,Adoptado,,+ de 1 hora,A veces,Menos de 1000€,Sí,Yorkshire terrier,,Sí,Sí
22/04/2024 13:14:15,Sí,Hombre,25- 35 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,No,Menos de 1000€,No,Mestizo,No lo sé,Sí,Sí
22/04/2024 13:25:26,Sí,Mujer,25- 35 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Mestizo,No lo sé,Sí,Sí
22/04/2024 13:26:50,Sí,Mujer,+55 años,Perro,Adoptado,,+ de 1 hora,Sí,Menos de 1000€,No,No lo sé,,Sí,Sí
22/04/2024 13:27:26,No,Mujer,35 - 45 años,,,,,,,,,,,
22/04/2024 13:28:10,Sí,Mujer,25- 35 años,Gato,,"Comprado, Adoptado",30 minutos,No,Menos de 1000€,,,"Persa, Otro",Sí,Sí
22/04/2024 13:31:29,Sí,Mujer,45 -55 años,Perro,Adoptado,Adoptado,1 hora,No,Menos de 1000€,Sí,Yorkshire terrier,No lo sé,Sí,Sí
22/04/2024 13:47:56,Sí,Mujer,18-25 años,Perro,Adoptado,,+ de 1 hora,Sí,Entre 1000€ y 2000€,Sí,Mestizo,,Sí,Sí
22/04/2024 13:49:37,Sí,Hombre,18-25 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Menos de 1000€,Sí,Chihuahua,Siamés,Sí,Sí
22/04/2024 13:51:14,Sí,Mujer,35 - 45 años,Perro,Adoptado,,+ de 1 hora,No,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 13:54:04,Sí,Mujer,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 14:02:23,No,Hombre,25- 35 años,,,,,,,,,,,
22/04/2024 14:02:34,No,Mujer,25- 35 años,,,,,,,,,,,
22/04/2024 14:08:17,No,Mujer,18-25 años,,,,,,,,,,,
22/04/2024 14:10:24,Sí,Mujer,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Entre 1000€ y 2000€,Sí,,Otro,Sí,Sí
22/04/2024 14:10:59,Sí,Mujer,18-25 años,Perro,Comprado,,+ de 1 hora,A veces,Menos de 1000€,Sí,Pastor alemán,,Sí,Sí
22/04/2024 14:11:22,Sí,Mujer,35 - 45 años,Perro,Adoptado,,+ de 1 hora,A veces,Menos de 1000€,No,Perro de aguas,,Sí,Sí
22/04/2024 14:11:40,No,Mujer,18-25 años,,,,,,,,,,,
