"Año";"Periodo";"Número"
"2014";"Año";"209"
"2015";"Año";"308"
"2016";"Año";"488"
"2017";"Año";"488"
"2018";"Año";"590"
"2019";"Año";"601"
"2020";"Año";"627"
;;
;;
"Métrica":"Número"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Detenciones/Investigaciones"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-detenidos-investigados-maltrato-abandono-animales-domesticos-espana/2e8faf86-6368-4086-9e54-25caa1de8907"
"Titulo":"Evolución de detenidos o investigados por maltrato o abandono de animales domésticos en España"
"Subtitulo":""
